source,cluster,n_pleio_pos,n_pleio_neg,n_pleio_none,n_pleio_any,n_pleio_net,n_bfa_envs,wmu_x_home,wse_home,wmu_x_away,wse_away,n_bcs
02M_NaCl,1,5,1,5,6,4,11,0.031405863915697725,0.006985253010347345,0.007120807006317733,0.004929266070619037,55
02M_NaCl,2,3,0,8,3,3,11,0.04077906436712196,0.010149938415126646,5.787873263539418e-4,0.01240160606247838,4
02M_NaCl,3,8,1,2,9,7,11,0.029451177468048376,0.004080237353744275,0.026717780581881706,0.010986278166914373,3
02M_NaCl,5,4,1,6,5,3,11,0.022049805300424875,0.0014869555347466867,0.018600039536430718,0.0352988081031258,3
02M_NaCl,6,5,0,6,5,5,11,0.0194161562554645,0.0059239423195886,0.014850231738714754,0.00523093159563203,1
02M_NaCl,7,6,2,3,8,4,11,0.01677736428273,0.005433780098667162,0.009700091099899583,0.01005086208536407,1
21C,1,5,1,5,6,4,11,0.024665500658825973,0.003938598363209403,0.010002325576657183,0.00512032644327697,122
21C,10,9,1,1,10,8,11,0.037116376068075,0.0029052201415102875,0.028759896659400916,0.01383612779907353,1
21C,2,6,0,5,6,6,11,0.011031756308362959,0.0021422034961570617,0.010224246129058964,0.004414529042831854,4
21C,4,7,3,1,10,4,11,0.03413310206159973,0.003914523997457129,1.5888035050669772e-4,0.021412721461714322,3
21C,5,8,1,2,9,7,11,0.0287173989028675,0.004475867810736525,0.024201439010540345,0.007764918622743537,1
21C,6,5,5,1,10,0,11,0.007128735228648566,0.002628917000077718,0.0012428184152909298,0.008133398395083572,2
21C,7,6,1,4,7,5,11,0.0410144439343196,0.006591438896414273,0.015687920415965593,0.009835858027461779,3
21C,8,6,3,2,9,3,11,0.03180804431061861,0.0033099221639324833,0.004141614860593588,0.018777136159230164,2
21C,9,4,1,6,5,3,11,0.00731736851782195,0.004705724517463737,0.01380163559340124,0.006834741115021284,1
37C,1,3,3,5,6,0,11,0.017107947104922274,0.00611127889361909,-0.009819534360735621,0.009014677832637593,7
37C,10,9,0,2,9,9,11,0.060526967771165625,0.004589635442638025,0.02863565812673089,0.013409762599174965,1
37C,2,1,2,8,3,-1,11,0.017871741989112958,0.010389990710193989,-0.010957366437017486,0.006837689596573302,3
37C,3,2,2,7,4,0,11,0.011766377704475726,0.005644986163128113,-0.004698891446851024,0.008447539726702551,1
37C,4,6,0,5,6,6,11,0.024879423483084532,0.010351317160092735,0.0059878342099779465,0.010746828585778478,2
37C,5,8,1,2,9,7,11,0.015667390493516408,0.004990319735524808,0.012345795354788433,0.005451133038404951,11
37C,7,3,1,7,4,2,11,0.010100533485136625,0.0054010077521343,-0.0023713779378203986,0.008579201493635585,1
37C,9,1,2,8,3,-1,11,0.0057818281650306,0.0054146014281419375,9.911703701427868e-4,0.00815884930616118,1
48Hr,2,8,1,2,9,7,11,NA,NA,0.007620738979286301,0.007435286289221104,3
48Hr,3,8,0,3,8,8,11,NA,NA,0.01040523526936967,0.007806592818264196,2
48Hr,5,5,5,1,10,0,11,NA,NA,5.931402146633249e-4,0.011395661991827915,1
48Hr,6,7,0,4,7,7,11,NA,NA,0.010198004659843819,0.004905005935613261,5
48Hr,7,2,4,5,6,-2,11,NA,NA,-0.005117714031496401,0.009435430209088673,1
48Hr,8,4,0,7,4,4,11,NA,NA,0.015692771747369067,0.006776524282175003,1
CLM,1,2,4,5,6,-2,11,0.7308111624161391,0.059151869330088314,-0.0011090969687022236,0.03846008979252431,81
CLM,2,3,8,0,11,-5,11,0.7121612337007175,0.02548362208692425,-0.014762781916896372,0.04636296461909238,1
FLC4,1,2,8,1,10,-6,11,0.5158660370430022,0.052390469496101155,-0.048222514059156514,0.011834887718273724,496
FLC4,2,3,8,0,11,-5,11,0.220694380074517,0.05825952948464813,-0.021041129708737817,0.010800456602482833,33
FLC4,3,2,7,2,9,-5,11,0.40003320071627657,0.002168447819392867,NA,NA,2
FLC4,4,2,9,0,11,-7,11,0.359984417963762,0.11537861523853771,-0.03342487285997903,0.009055501167639354,8
FLC4,5,2,2,7,4,0,11,0.6167657886473648,0.23783792829454534,-0.01989513305849999,0.006298463606314309,4
FLC4,6,5,2,4,7,3,11,0.6673182954092911,0.017664482502947186,-0.008467448457596569,0.009825433159192994,7
FLC4,7,2,8,1,10,-6,11,0.11383177387738544,0.06502790796181109,-0.04239598935669465,0.0276221491134767,2
GlyEtOH,1,3,0,8,3,3,11,0.06172911585392329,0.012504062442617174,0.003870856055413963,0.006117036198795433,48
GlyEtOH,10,2,5,4,7,-3,11,0.04953495438259172,0.01472609836455558,NA,NA,4
GlyEtOH,12,4,4,3,8,0,11,0.056548669765665624,0.005300324598922925,-0.01065869422712593,0.007487182447920905,1
GlyEtOH,13,4,1,6,5,3,11,0.043903406700679624,0.006160455988841663,0.007151575688785651,0.007361579396761203,1
GlyEtOH,14,3,8,0,11,-5,11,0.07418354515573088,0.004568309669219388,-0.02710238720600412,0.0060254032243980534,1
GlyEtOH,15,3,8,0,11,-5,11,0.07717921456196625,0.004645647038841688,-0.03653431768423135,0.011300271960676964,1
GlyEtOH,2,3,6,2,9,-3,11,0.034118419250405534,0.013480838149828544,-0.03231582819531151,0.012161309264679062,19
GlyEtOH,3,2,5,4,7,-3,11,0.06082938742007464,0.015040828559497118,-0.036818266946691686,0.01225241896098483,4
GlyEtOH,4,2,2,7,4,0,11,0.03257913149969375,0.01179829832586508,-0.016928158650012383,0.005141148066435424,19
GlyEtOH,5,6,2,3,8,4,11,0.065987988052249,0.004633797149877825,0.004672465985288229,0.01007681630707286,1
GlyEtOH,6,2,5,4,7,-3,11,0.06397564218709012,0.00545717703827995,-0.016717082250830826,0.009604933169621795,1
GlyEtOH,7,8,0,3,8,8,11,0.04398311131256872,0.010524561229529628,0.01305797447376717,0.009452327639496497,5
GlyEtOH,9,7,3,1,10,4,11,0.030801177169090272,0.004795634284604347,0.005452012371920026,0.010421342389981625,5
pH3_8,1,7,1,3,8,6,11,0.010093048884442513,0.0023826487314831425,0.007740009174347229,0.009423914212505267,21
pH3_8,3,6,0,5,6,6,11,0.03905193678243875,0.005457521857418587,0.020230093880936096,0.005566677146973053,1
pH3_8,6,6,0,5,6,6,11,0.023123772848412,0.0059795505891772375,0.014552667689290451,0.0063014404897796675,1
pH3_8,7,7,1,3,8,6,11,0.02116847694778375,0.005689688429939913,0.019142483603919697,0.00987218152188028,1
pH3_8,8,4,4,3,8,0,11,0.04474106829255075,0.00563603101107555,0.01237927019325426,0.011607352365342346,1
pH7_3,3,2,3,6,5,-1,11,0.01339771305387335,0.011330696137521279,-0.009542914614745802,0.005563920185388525,17
pH7_3,4,2,5,4,7,-3,11,0.058515189873064206,0.00886850514501669,-0.01764663056460307,0.009045938922825248,6
pH7_3,5,4,0,7,4,4,11,0.0440027534646385,0.005025295145031562,0.0061475515351334525,0.006816541442787888,1
SC,1,6,1,4,7,5,11,0.013027192726479874,0.004464908675598738,0.01247191387211894,0.006800804540291328,1
YPD,1,3,4,4,7,-1,11,0.004227026595276205,0.0022519703984920443,-0.004498073163631784,0.008117797908068188,13
YPD,2,8,0,3,8,8,11,0.0092359320898719,0.006357067325729425,0.016733491322017326,0.006541847865948509,1
YPD,3,7,2,2,9,5,11,0.005022221728310825,0.004785168609100675,0.012294103435855682,0.009212132575637156,1
